Rank,Athlete,Age,Team,NOC,Medal,P(1977AT),P(1985AT),
1,Daley Thompson,21,Great Britain,GBR,Gold,8.495,8522,
2,Yury Kutsenko,28,Soviet Union,URS,Silver,8.331,8369,
3,Sergey Zhelanov,23,Soviet Union,URS,Bronze,8.135,8135,
4,Georg Werthner,24,Austria,AUT,,8.05,8084,
5,Sepp Zeilbauer,27,Austria,AUT,,8.007,7989,
6,Dariusz Ludwig,25,Poland,POL,,7.978,7972,
7,Atanas Andonov,25,Bulgaria,BUL,,7.927,7887,
8,Steffen Grummt,20,East Germany,GDR,,7.892,7840,
9,Esa Jokinen,22,Finland,FIN,,7.826,7793,
10,Janusz Szczerkowski,26,Poland,POL,,7.822,7794,
11,Johannes Lahti,28,Finland,FIN,,7.765,7725,
12,Stephan Niklaus,22,Switzerland,SUI,,7.762,7721,
13,Peter Hadfield,25,Australia,AUS,,7.709,7658,
14,Razvigor Yankov,26,Bulgaria,BUL,,7.624,7572,
15,Brad McStravick,24,Great Britain,GBR,,7.616,7537,
16,Columba Blango,24,Sierra Leone,SLE,,5.08,5214,
AC,Miro Ronac,18,Peru,PER,,,,DNF
AC,Valeriu Caceanov,26,Soviet Union,URS,,,,DNF
AC,Sandro Brogini,21,Italy,ITA,,,,DNF
AC,Rainer Pottel,26,East Germany,GDR,,,,DNF
AC,Siegfried Stark,25,East Germany,GDR,,,,DNF
